scenario_id,scenario_title,application_id,brand_name,class_type,alcohol_content,proof,net_contents,bottler_producer,country_of_origin,government_warning,image_filename,expected_outcome,demo_description
pass-13,Pass Case 13: LONDON_DRY_GIN,COLA-PASS-2026-13,ESTATE RESERVE LONDON_DRY_GIN,LONDON DRY GIN,47.3%,94.6,750 ML,"BEEFEATER DISTILLERY, LONDON",PRODUCT OF UK,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_13_london_dry_gin.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for LONDON_DRY_GIN.
pass-14,Pass Case 14: CRAFT_IPA,COLA-PASS-2026-14,ESTATE RESERVE CRAFT_IPA,INDIA PALE ALE BEER,6.8%,N/A,12 FL OZ,"SIERRA NEVADA BREWING, CA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_14_craft_ipa.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for CRAFT_IPA.
pass-15,Pass Case 15: STOUT_BEER,COLA-PASS-2026-15,ESTATE RESERVE STOUT_BEER,IMPERIAL OATMEAL STOUT BEER,8.5%,N/A,16 FL OZ,"LEFT HAND BREWING, CO",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_15_stout_beer.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for STOUT_BEER.
pass-16,Pass Case 16: PILSNER_BEER,COLA-PASS-2026-16,ESTATE RESERVE PILSNER_BEER,GERMAN STYLE PILSNER BEER,5.0%,N/A,12 FL OZ,"BAVARIA BREWING, MUNCHEN",PRODUCT OF GERMANY,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_16_pilsner_beer.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for PILSNER_BEER.
pass-17,Pass Case 17: HARD_CIDER,COLA-PASS-2026-17,ESTATE RESERVE HARD_CIDER,CRISP APPLE HARD CIDER,5.5%,N/A,12 FL OZ,"ANGRY ORCHARD CIDER, NY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_17_hard_cider.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for HARD_CIDER.
pass-18,Pass Case 18: BRANDY,COLA-PASS-2026-18,ESTATE RESERVE BRANDY,CALIFORNIA AGED BRANDY,40.0%,80,750 ML,"E&J DISTILLERS, MODESTO, CA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_18_brandy.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for BRANDY.
pass-19,Pass Case 19: MEZCAL,COLA-PASS-2026-19,ESTATE RESERVE MEZCAL,MEZCAL ARTESANAL JOVEN,45.0%,90,750 ML,"OAXACA ARTESANAL S.A., OAXACA",PRODUCT OF MEXICO,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_19_mezcal.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for MEZCAL.
pass-20,Pass Case 20: LIQUEUR,COLA-PASS-2026-20,ESTATE RESERVE LIQUEUR,TRIPLE SEC ORANGE LIQUEUR,30.0%,60,750 ML,"COINTREAU S.A.R.L., ANGERS",PRODUCT OF FRANCE,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_20_liqueur.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for LIQUEUR.
fail-21,Fail Case 21: ABV Mismatch (14.8% metadata vs 13.5% label),COLA-FAIL-2026-21,MISMATCH TEST BRAND,RED WINE,14.8%,N/A,750 ML,"TEST DISTILLING CO., NY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",fail_mismatch_21_abv.png,REJECT,ABV Mismatch (14.8% metadata vs 13.5% label)
fail-22,Fail Case 22: Net Contents Mismatch (750 ML metadata vs 1 L label),COLA-FAIL-2026-22,MISMATCH TEST BRAND,BOURBON,750 ML,N/A,750 ML,"TEST DISTILLING CO., NY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",fail_mismatch_22_net_contents.png,REJECT,Net Contents Mismatch (750 ML metadata vs 1 L label)
fail-23,Fail Case 23: Brand Name Mismatch (OLD CROWN vs CROWN RESERVE),COLA-FAIL-2026-23,MISMATCH TEST BRAND,WHISKEY,OLD CROWN,N/A,750 ML,"TEST DISTILLING CO., NY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",fail_mismatch_23_brand_name.png,REJECT,Brand Name Mismatch (OLD CROWN vs CROWN RESERVE)
fail-24,Fail Case 24: Class Designation Mismatch (BOURBON vs RYE),COLA-FAIL-2026-24,MISMATCH TEST BRAND,SPIRITS,KENTUCKY STRAIGHT BOURBON,N/A,750 ML,"TEST DISTILLING CO., NY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",fail_mismatch_24_class_type.png,REJECT,Class Designation Mismatch (BOURBON vs RYE)
fail-25,Fail Case 25: Missing Country of Origin on Imported Tequila,COLA-FAIL-2026-25,MISMATCH TEST BRAND,TEQUILA,PRODUCT OF MEXICO,N/A,750 ML,"TEST DISTILLING CO., NY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",fail_mismatch_25_missing_origin.png,REJECT,Missing Country of Origin on Imported Tequila
fail-26,Fail Case 26: Proof Mismatch (100 Proof vs 80 Proof),COLA-FAIL-2026-26,MISMATCH TEST BRAND,RUM,100,N/A,750 ML,"TEST DISTILLING CO., NY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",fail_mismatch_26_proof.png,REJECT,Proof Mismatch (100 Proof vs 80 Proof)
fail-27,Fail Case 27: Bottler Address Mismatch,COLA-FAIL-2026-27,MISMATCH TEST BRAND,VODKA,"DISTILLERS LLC, NY",N/A,750 ML,"TEST DISTILLING CO., NY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",fail_mismatch_27_bottler.png,REJECT,Bottler Address Mismatch
fail-28,Fail Case 28: Beer ABV Mismatch (8.5% vs 5.0%),COLA-FAIL-2026-28,MISMATCH TEST BRAND,BEER,8.5%,N/A,750 ML,"TEST DISTILLING CO., NY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",fail_mismatch_28_beer_abv.png,REJECT,Beer ABV Mismatch (8.5% vs 5.0%)
fail-29,Fail Case 29: Gin Net Contents Mismatch (1 L vs 750 ML),COLA-FAIL-2026-29,MISMATCH TEST BRAND,GIN,1 L,N/A,750 ML,"TEST DISTILLING CO., NY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",fail_mismatch_29_gin_net.png,REJECT,Gin Net Contents Mismatch (1 L vs 750 ML)
fail-30,Fail Case 30: Missing Origin on Cider Import,COLA-FAIL-2026-30,MISMATCH TEST BRAND,CIDER,PRODUCT OF UK,N/A,750 ML,"TEST DISTILLING CO., NY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",fail_mismatch_30_cider_origin.png,REJECT,Missing Origin on Cider Import
caps-31,Review Case 31: Accent Character (EL TEQUILEÑO vs El Tequileno),COLA-CAPS-2026-31,EL TEQUILEÑO REPOSADO,PREMIUM BEVERAGE,40.0%,80,750 ML,"TEST BOTTLING CO., CA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",caps_diff_31_tequila_accent.png,NEEDS REVIEW,Accent Character (EL TEQUILEÑO vs El Tequileno)
caps-32,Review Case 32: Punctuation (STONE'S THROW vs STONES THROW),COLA-CAPS-2026-32,STONE'S THROW BOURBON,PREMIUM BEVERAGE,40.0%,80,750 ML,"TEST BOTTLING CO., CA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",caps_diff_32_stones_throw_punctuation.png,NEEDS REVIEW,Punctuation (STONE'S THROW vs STONES THROW)
caps-33,Review Case 33: Mixed Case Brand Name (Highland Reserve),COLA-CAPS-2026-33,HIGHLAND RESERVE,PREMIUM BEVERAGE,40.0%,80,750 ML,"TEST BOTTLING CO., CA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",caps_diff_33_mixed_case_brand.png,NEEDS REVIEW,Mixed Case Brand Name (Highland Reserve)
caps-34,Review Case 34: French Accent Mark (CHÂTEAU BELLEVIEW),COLA-CAPS-2026-34,CHÂTEAU BELLEVIEW,PREMIUM BEVERAGE,40.0%,80,750 ML,"TEST BOTTLING CO., CA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",caps_diff_34_accent_french_wine.png,NEEDS REVIEW,French Accent Mark (CHÂTEAU BELLEVIEW)
caps-35,Review Case 35: Multi-Space Difference (OAK & HOPS IPA),COLA-CAPS-2026-35,OAK  &  HOPS IPA,PREMIUM BEVERAGE,40.0%,80,750 ML,"TEST BOTTLING CO., CA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",caps_diff_35_spacing_brand.png,NEEDS REVIEW,Multi-Space Difference (OAK & HOPS IPA)
caps-36,Review Case 36: Lowercase Class (bourbon whiskey),COLA-CAPS-2026-36,KENTUCKY STRAIGHT BOURBON WHISKEY,PREMIUM BEVERAGE,40.0%,80,750 ML,"TEST BOTTLING CO., CA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",caps_diff_36_lowercase_class.png,NEEDS REVIEW,Lowercase Class (bourbon whiskey)
caps-37,Review Case 37: Abbreviation (ALC/VOL vs ALC. VOL.),COLA-CAPS-2026-37,45% ALC/VOL,PREMIUM BEVERAGE,40.0%,80,750 ML,"TEST BOTTLING CO., CA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",caps_diff_37_short_abbrev.png,NEEDS REVIEW,Abbreviation (ALC/VOL vs ALC. VOL.)
